日期,标题,媒体来源,摘要,涉及国家/地区,主题分类,关键词,出处链接,重要程度
2026-07-29,"外交部批日本右翼势力借助人工智能歪曲侵华历史",人民网,"针对近期媒体披露日本右翼势力大规模利用人工智能歪曲侵华历史，外交部发言人毛宁29日在例行记者会上表示严重关切。战后日本右翼势力非但没能深刻反省侵华历史，反而处心积虑歪曲事实真相、淡化历史罪责，严重误导日本社会特别是青少年群体。",中国;日本,中美关系,外交部;毛宁;日本右翼;AI歪曲历史;侵华历史,https://world.people.com.cn/n1/2026/0729/c1002-40770399.html,高
2026-07-29,"中国—犹他州经贸交流会在美国盐湖城举办",人民网,"当地时间7月28日，中国—犹他州经贸交流会在美国犹他州盐湖城举办，中国贸促会会长任鸿斌率中国企业家代表团出席并致辞。美国犹他州世界贸易中心总裁兼首席执行官乔纳森·弗里德曼、中国驻洛杉矶总领馆商务参赞彭敬等出席。",中国;美国,经贸制裁,中美经贸;犹他州;贸促会;地方交流;企业合作,https://world.people.com.cn/n1/2026/0729/c1002-40770346.html,中
2026-07-29,"《国际形势和中国外交蓝皮书（2025/2026）》发布",人民网,"《国际形势和中国外交蓝皮书（2025/2026）》29日在京发布。该书系统阐释2025年习近平外交思想的理论与实践创新，深入分析2025年国际形势演变新态势，全面阐述2025年中国外交和中外关系取得的新成就新进展。",中国,外交资讯,外交蓝皮书;习近平外交思想;国际形势;中国外交成就,https://world.people.com.cn/n1/2026/0729/c1002-40770322.html,中
2026-07-29,"美参议院确认克莱顿任国家情报总监",人民网,"美国国会参议院28日投票确认总统特朗普提名的纽约南区联邦检察官、前美国证券交易委员会主席杰伊·克莱顿出任美国国家情报总监。参议院当天的投票结果为51票赞成、47票反对。",美国,国际政治,美国参议院;国家情报总监;克莱顿;特朗普提名;党派分歧,https://world.people.com.cn/n1/2026/0729/c1002-40770312.html,中
2026-07-29,"美军称打击伊拉克境内受伊朗支持的目标",人民网,"美军中央司令部28日在社交媒体发布消息称，美军和沙特阿拉伯军队在伊拉克对""受伊朗支持的""目标进行了打击。消息说，打击目标是受伊朗伊斯兰革命卫队指使的""恐怖分子""，他们企图袭击美军和沙特能源基础设施。",美国;伊拉克;伊朗;沙特阿拉伯,国际政治,美军;伊拉克;伊朗代理人;沙特联军;反恐行动,https://world.people.com.cn/n1/2026/0729/c1002-40770311.html,高
2026-07-29,"伊朗称打击了约旦境内美军目标",人民网,"伊朗伊斯兰革命卫队29日发布多份公告说，伊朗伊斯兰革命卫队空军当天用导弹打击了位于约旦境内的一处美国空军基地和指挥中心。这是伊朗首次公开承认直接攻击美军海外基地。",伊朗;美国;约旦,国际政治,伊朗革命卫队;导弹打击;美军基地;约旦;直接冲突,https://world.people.com.cn/n1/2026/0729/c1002-40770310.html,高
2026-07-29,"韩国股市连续两日触发熔断机制",人民网,"韩国综合股价指数（KOSPI）29日盘中跌幅一度超过8%，触发市场熔断机制，指数跌破5600点关口，创近期新低。这是韩国股市今年以来第九次触发熔断机制，也是连续两个交易日触发熔断机制。",韩国,国际政治,韩国股市;KOSPI;熔断机制;金融市场动荡;亚洲经济,https://world.people.com.cn/n1/2026/0729/c1002-40770306.html,中
2026-07-29,"伊朗称在霍尔木兹海峡拦截3艘""违规""油轮",人民网,"伊朗伊斯兰革命卫队29日发布多份公告说，伊朗伊斯兰革命卫队海军继续""全面掌控霍尔木兹海峡""，几小时前打击并拦截了3艘""违规""油轮。公告说，这些油轮""无视其警告，继续在不安全且非法的航线上航行，已被击中并拦截""。",伊朗;霍尔木兹海峡,国际政治,霍尔木兹海峡;油轮拦截;伊朗海军;航运安全;能源通道,https://world.people.com.cn/n1/2026/0729/c1002-40770307.html,高
2026-07-29,"特朗普政府宣布50多亿美元资助Genesis Mission国家AI科学任务",白宫,"白宫宣布投入超过50亿美元用于Genesis Mission，这是一项专注于科学领域的国家级人工智能使命。该项目旨在巩固美国在AI科研领域的全球领导地位，应对来自中国等国家在人工智能技术方面的激烈竞争。",美国,人工智能竞争,Genesis Mission;AI科研投资;特朗普;国家AI战略;科技竞争,https://www.whitehouse.gov/releases/2026/07/45502/,高
2026-07-29,"特朗普费率保护承诺确保美国AI主导地位并保护消费者",白宫,"特朗普总统提出费率保护承诺，旨在确保美国在人工智能领域的主导地位同时保护消费者权益。该政策框架涉及AI基础设施建设、算力成本控制以及防止大型科技公司垄断等多个维度。",美国,人工智能竞争,AI主导权;费率保护;消费者权益;反垄断;算力基础设施,https://www.whitehouse.gov/releases/2026/07/president-trumps-ratepayer-protection-pledge-secures-american-ai-dominance-protects-consumers/,高
2026-07-29,"美国对60个经济体启动301调查：强制劳动供应链问题",白宫,"特朗普政府宣布根据1974年贸易法第301条，对60个经济体未能有效禁止进口强迫劳动产品进行调查并采取行动。这是美国历史上最大规模的贸易执法行动之一，可能对全球供应链产生深远影响。",美国;全球多国,经贸制裁,301条款;强制劳动;供应链审查;贸易执法;全球关税,https://www.whitehouse.gov/presidential-actions/2026/07/actions-by-the-united-states-in-the-investigations-under-section-301-of-the-trade-act-of-1974-of-the-acts-policies-and-practices-of-60-economies-related-to-the-failure-of-each-economy-to-impose-and-effectively-enforce-a-prohibition-on-the-importation-of-goods-produced-with-forced-labor/,高
2026-07-29,"USTR对强制劳动问题采取301调查行动",美国贸易代表办公室USTR,"美国贸易代表办公室宣布对多个国家的强制劳动问题采取第301条调查行动。此举是美国贸易政策的重要组成部分，旨在消除全球供应链中的强迫劳动产品，保护美国工人和企业免受不公平竞争。",美国;全球多国,经贸制裁,USTR;301调查;强制劳动;供应链合规;贸易壁垒,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2026/july/ustr-takes-action-forced-labor-section-301-investigations,高
2026-07-29,"USTR就美墨加协定（USMCA）联合评审发表声明",美国贸易代表办公室USTR,"美国贸易代表格里尔大使就USMCA联合评审发表声明，强调协定对北美贸易的重要性。美墨三方将于墨西哥城举行第三轮双边谈判，讨论协定执行中的关键问题和改进方向。",美国;墨西哥;加拿大,经贸制裁,USMCA;北美自贸协定;贸易谈判;区域经济一体化;格里尔,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2026/july/ambassador-greer-issues-statement-on-the-usmca-joint-review,中
2026-07-29,"USTR对中国寻求建立促进平衡互惠贸易机制的公众意见",美国贸易代表办公室USTR,"美国贸易代表办公室就与中国建立促进平衡互惠贸易机制的 scope 和运作方式征求公众意见。这标志着美国对华贸易政策进入新阶段，可能涉及关税调整、市场准入和知识产权保护等多方面议题。",中国;美国,中美关系,中美贸易;互惠机制;USTR;公众征询;贸易再平衡,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2026/june/ustr-seeks-public-comment-on-the-scope-and-operation-of-a-mechanism-to-promote-balanced-and-reciprocal-trade-with-china,高
2026-07-29,"评论：中国应发挥AI可及性优势",南华早报,"评论文章认为中国在AI领域的可及性（accessibility）是其相对于美国的定义性优势。作者建议中国进一步发挥这一优势，通过降低AI使用门槛、扩大应用场景来在全球AI竞争中占据有利位置。",中国;美国,人工智能竞争,AI可及性;中美AI对比;技术应用;竞争优势;数字普惠,https://www.scmp.com/opinion/china-opinion/article/3361895/china-should-lean-its-defining-ai-advantage-accessibility,中
2026-07-29,"评论：Hugging Face攻击事件——中国救援展现开放AI治理价值",南华早报,"针对Hugging Face遭受网络攻击事件，文章指出当美国AI安全护栏失效时，中国模型成功阻止了攻击，体现了开放AI治理的价值。这一事件成为中美AI治理模式对比的典型案例。",中国;美国,人工智能竞争,Hugging Face;网络安全;AI治理;中美模式对比;开放源代码,https://www.scmp.com/opinion/china-opinion/article/3361768/how-chinese-model-stopped-cyberattack-when-us-guard-rails-failed,中
2026-07-29,"德国周日休息传统因中国进口压力受到审视",南华早报,"德国为应对中国进口商品压力，其长期以来的周日休息传统受到重新审视——反映中欧贸易摩擦正向更深层次社会制度渗透。德国商界和政界就是否放松周日营业限制展开激烈辩论。",中国;德国;欧盟,经贸制裁,中欧贸易;德国制造业;周日休息制;社会制度冲突;贸易保护主义,https://www.scmp.com/economy/global-economy/article/3361994/germanys-drive-compete-china-collides-long-standing-tradition-sunday-rest,中
2026-07-29,"智利推出千亿美元计划摆脱对中国铜依赖",南华早报,"智利推出1000亿美元矿业计划，寻求多元化铜矿买家以减少对中国的依赖——反映关键矿产资源供应链的去中国化趋势。智利政府正积极开拓印度、欧盟等替代市场。",智利;中国;印度;欧盟,经贸制裁,铜矿供应链;去中国化;资源多元化;智利矿业;关键矿产,https://www.scmp.com/news/world/americas/article/3361514/chile-hunts-copper-buyers-beyond-china-us100-billion-mining-plan,中
2026-07-29,"特朗普宣扬与德黑兰的""友好""会谈",中国日报网,"特朗普总统在与伊朗领导人的接触后，公开宣扬双方进行了""友好""的对话。这一表态引发国际社会广泛关注，被解读为美国中东政策的潜在转向信号。",美国;伊朗,外交资讯,特朗普;伊朗;美伊关系;外交突破;中东政策,https://www.chinadaily.com.cn/a/202607/29/WS6a692cdea310986e2b467c9c.html,高
2026-07-29,"专家赞赏中国追求更公平的全球治理",中国日报网,"多位国际专家学者对中国推动全球治理体系改革、倡导多边主义和公平正义的努力表示赞赏。中国在联合国、G20、金砖机制等多边平台上的积极作用得到广泛认可。",中国;全球,外交资讯,全球治理;多边主义;中国方案;国际认可;改革倡议,https://www.chinadaily.com.cn/a/202607/29/WS6a68f9b6a310986e2b467c90.html,中
2026-07-29,"全球发展倡议五周年：更多支持承诺不断涌现",中国日报网,"在中国提出的全球发展倡议（GDI）迎来五周年之际，越来越多的国家和国际组织表达了对该倡议的支持，并在减贫、粮食安全、抗疫合作等领域取得实质性成果。",中国;全球南方,外交资讯,全球发展倡议;GDI五周年;南南合作;发展融资;减贫成果,https://www.chinadaily.com.cn/a/202607/29/WS6a693933a310986e2b467cc8.html,中
2026-07-29,"原因变了，但关税依旧——世界观察",中国日报网,"深度分析指出，尽管各国实施关税的理由从国家安全到产业保护各不相同，但贸易保护主义抬头的趋势并未改变。全球化面临前所未有的挑战，多边贸易体系亟待改革。",全球,经贸制裁,关税战;贸易保护主义;全球化危机;WTO改革;多边贸易体系,https://www.chinadaily.com.cn/a/202607/29/WS6a695c98a310986e2b467e48.html,中
2026-07-29,"AI生态系统正在被错误地提问",中国日报网,"技术评论指出，当前关于AI发展的公共讨论往往聚焦于错误的问题。真正需要关注的是AI治理框架、伦理标准、国际合作机制以及如何确保技术红利惠及全人类。",全球,人工智能竞争,AI治理;技术伦理;全球AI规则;数字鸿沟;人类福祉,https://www.chinadaily.com.cn/a/202607/28/WS6a680c0aa310986e2b467a87.html,中
2026-07-29,"日本被敦促遵守和平宪法",中国日报网,"国际社会呼吁日本政府在军事扩张道路上保持克制，严格遵守和平宪法精神。日本近期增加国防预算、强化安保法案的举动引发周边国家担忧。",日本;中国;韩国,国际政治,日本和平宪法;军事扩张;安保政策;东亚安全;历史认识,https://www.chinadaily.com.cn/a/202607/29/WS6a95228a310986e2b467d7c.html,中
2026-07-29,"林肯中心举办""你好！中国""招待会",中国日报网,"纽约林肯中心举办""你好！中国""文化招待会，展示中国文化软实力和中美民间交流的活力。活动汇聚了美国政界、商界、文化界知名人士，彰显人文外交的独特魅力。",中国;美国,外交资讯,文化交流;林肯中心;民间外交;文化软实力;纽约,https://www.chinadaily.com.cn/a/202607/29/WS6a693841a310986e2b467cc2.html,低
2026-07-29,"法国遭遇史无前例的大火侵袭",中国日报网,"法国西南部地区遭遇有记录以来最严重的野火季，数万居民被迫疏散。高温干旱和强风天气导致火势迅速蔓延，消防部门正全力遏制火情。欧盟已启动紧急援助机制。",法国;欧盟,地区热点,法国野火;极端天气;气候危机;欧盟应急响应;居民疏散,https://www.chinadaily.com.cn/a/202607/29/WS6a9529ba310986e2b467d94.html,中
2026-07-29,"欧盟国家在重大毒品查获行动中加强合作",中国日报网,"欧盟成员国执法机构近期在跨国毒品走私查获行动中展现出前所未有的合作水平。多国联合行动成功截获大量非法毒品，打击了有组织犯罪网络。",欧盟,国际政治,欧盟执法合作;毒品查获;跨国犯罪;欧洲刑警组织;有组织犯罪,https://www.chinadaily.com.cn/a/202607/29/WS6a68f9ffa310986e2b467c92.html,低
2026-07-29,"澳大利亚维多利亚州州长辞职",人民网,"澳大利亚维多利亚州州长杰辛塔·亚伦28日宣布辞去州长及维多利亚州工党领袖职务。随后，维多利亚州副州长本·卡罗尔当选工党领袖并宣誓就任维多利亚州第50任州长。",澳大利亚,国际政治,澳大利亚;维多利亚州;州长辞职;工党更迭;地方政治,https://world.people.com.cn/n1/2026/0729/c1002-40770313.html,低
2026-07-29,"秘鲁新总统藤森庆子任命内阁成员",人民网,"秘鲁新总统藤森庆子28日任命内阁成员，并在位于首都利马的政府宫主持内阁宣誓就职仪式。新总统任命了包括部长会议主席、外交部长、国防部长、经济和财政部长等19名内阁成员。",秘鲁,国际政治,秘鲁;藤森庆子;内阁任命;拉美政治;政府更迭,https://world.people.com.cn/n1/2026/0729/c1002-40770308.html,低
2026-07-29,"中国驻澳大利亚大使馆举办肖千大使离任招待会",人民网,"中国驻澳大利亚大使馆28日举办肖千大使离任招待会。澳大利亚外交贸易部副秘书长艾丽及各国驻澳使团、澳各界人士等200余人出席，肯定了肖千大使任内推动中澳关系改善的贡献。",中国;澳大利亚,外交资讯,中澳关系;肖千大使;外交官离任;双边关系改善;堪培拉,https://world.people.com.cn/n1/2026/0729/c1002-40770309.html,中
2026-07-29,"无人机袭击俄罗斯梁赞工业设施，Wildberries仓库被疏散",路透社,"无人机袭击了俄罗斯梁赞州的工业设施，导致Wildberries电商仓库被迫疏散。这是俄乌冲突以来俄罗斯本土遭受的最新一次无人机攻击，显示冲突外溢风险持续升高。",俄罗斯;乌克兰,国际政治,无人机袭击;俄罗斯本土;梁赞州;俄乌冲突外溢;基础设施安全,https://www.reuters.com/world/industrial-facilities-russias-ryazan-fire-after-drone-attack-regional-governor-2026-07-29/,中
2026-07-29,"马斯克X平台指责澳大利亚社交媒体禁令破坏国际法",路透社,"埃隆·马斯克的社交平台X指责澳大利亚试图赋予互联网监管机构不公平的信息收集权力，并破坏美国法律。澳方计划加强对未成年人社交媒体使用的限制措施引发科技行业强烈反弹。",美国;澳大利亚,国际政治,马斯克;X平台;澳大利亚;社交媒体监管;跨境数字治理,https://www.reuters.com/legal/government/musks-x-says-australia-social-media-ban-crackdown-undermines-international-law-2026-07-29/,中
2026-07-29,"欧盟称野火应对必须跟上气候变化步伐",路透社,"欧盟危机应对负责人表示，欧盟应对野火的能力需要更多资金、更注重森林管理和增强火灾风险教育。随着气候变化加剧，法国和西班牙等国正面临越来越频繁和猛烈的山火威胁。",欧盟;法国;西班牙,地区热点,欧盟野火应对;气候变化适应;森林管理;灾害预防;环境政策,https://www.reuters.com/business/environment/wildfire-response-must-evolve-keep-pace-climate-change-eu-says-2026-07-29/,低
2026-07-29,"土耳其拘留另一名反对党区长，镇压行动扩大",路透社,"土耳其当局拘留了一名反对党伊斯坦布尔区市长及其他5人，据称涉及建筑和居住许可违规行为。广播公司NTV报道，这是土耳其政府对反对派镇压行动的进一步扩大。",土耳其,国际政治,土耳其;反对党镇压;伊斯坦布尔;民主倒退;人权关切,https://www.reuters.com/world/middle-east/turkey-detains-another-opposition-district-mayor-others-crackdown-expands-2026-07-29/,中
2026-07-29,"以色列数十年的美国支持面临失去民主党人的风险",路透社,"分析指出，以色列长期享有的美国两党支持正面临考验，民主党内部对内塔尼亚胡政府的不满情绪日益高涨。加沙战争的持续和人道主义危机正在改变美国国内政治对以关系的认知。",美国;以色列,国际政治,美以关系;民主党;内塔尼亚胡;加沙战争;两党共识动摇,https://www.reuters.com/world/us/israels-decades-old-us-support-risks-losing-democrats-2026-07-29/,高
